Var1,Var2,Var3,Var4,Var5,Var6
1.305,-0.0201925740440165,-0.0274207475049936,0,-0.04266357421875,-0.0242182239890099
1.31,-0.0202798142072369,-0.0274880933260889,0,-0.0253143310546875,-0.023558784276247
1.315,-0.0203672051261496,-0.0274833310945172,0,-0.0254364013671875,-0.0236093550920486
1.32,-0.0204549790492653,-0.0276022681070664,0,-0.025634765625,-0.0237965416163206
1.325,-0.0205423532973536,-0.0277069768934419,0,-0.0257644653320312,-0.0237279422581196
1.33,-0.0206293351651551,-0.0277985857339858,0,-0.0258712768554688,-0.0236677303910255
1.335,-0.0207168440116853,-0.0277346845873912,0,-0.0259857177734375,-0.0237711369991302
1.34,-0.0208037831814808,-0.0278894519920044,0,-0.0262298583984375,-0.0237729549407959
1.345,-0.0208906813907981,-0.0279416497635431,0,-0.026336669921875,-0.0237508956342936
1.35,-0.0209764971487863,-0.0281307398624721,0,-0.026458740234375,-0.0235937535762787
1.355,-0.0210625566301453,-0.0281708638048723,0,-0.0266952514648438,-0.0235930904746056
1.36,-0.02116336698618,-0.0283197665541337,0,-0.042694091796875,-0.024662870913744
1.365,-0.021263847973425,-0.0284330186260287,0,-0.0428619384765625,-0.0245917588472366
1.37,-0.0213639366359391,-0.0285324883078194,0,-0.0429611206054688,-0.0245322585105896
1.375,-0.0214642756502283,-0.0285208975917817,0,-0.0430908203125,-0.0245847962796688
1.38,-0.0215642886235625,-0.0286377620030553,0,-0.0432815551757812,-0.0246079191565514
1.385,-0.0216636881947907,-0.0287853437823392,0,-0.0434494018554688,-0.0245016906410456
1.39,-0.0217635884731359,-0.0287493296967179,0,-0.043548583984375,-0.0245803706347942
1.395,-0.0218623115805427,-0.0289184780710427,0,-0.0436553955078125,-0.0244492590427399
1.4,-0.021960929344771,-0.0288641560354738,0,-0.0439071655273438,-0.0243375282734632
1.405,-0.0220590398139821,-0.0289086234406188,0,-0.0439987182617188,-0.0243290830403566
1.41,-0.0221574116533815,-0.0288683866398071,0,-0.0441207885742188,-0.0244061537086964
1.415,-0.0222573403824873,-0.0285752885689958,0,-0.0443954467773438,-0.0247166156768799
1.42,-0.0223555338871737,-0.028669720250348,0,-0.04461669921875,-0.024556640535593
